    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    19981212       94913    2451160     1998.946327   3.3396e+016   5.4365e+015      0
    19981213       70205    2451161     1998.948748   2.5864e+016   4.2104e+015      0
    19981213       82106    2451161     1998.948899   3.6941e+016   6.0136e+015      0
    19981213       94001    2451161     1998.949049   2.7914e+016   4.5440e+015      0
    19981213      105900    2451161     1998.949199   3.5997e+016   5.8598e+015      0
    19981217      132325    2451165     1998.960433   2.5035e+016   4.0755e+015      0
    19981222      142819    2451170     1998.974255   1.2996e+016   2.1156e+015      0
    19981228       92711    2451176     1998.990120   1.5460e+016   2.5167e+015      0
    19981228      104618    2451176     1998.990271   7.3630e+015   1.1986e+015      0
    19990103       84252    2451182     1999.006474   1.8685e+016   3.0417e+015      0
    19990103      100147    2451182     1999.006624   2.1002e+016   3.4188e+015      0
    19990104       83848    2451183     1999.009206   1.6953e+016   2.7598e+015      0
    19990104       95751    2451183     1999.009357   2.2626e+016   3.6833e+015      0
    19990104      135737    2451183     1999.009813   2.7317e+016   4.4469e+015      0
    19990104      151640    2451183     1999.009963   2.2391e+016   3.6451e+015      0
    19990105       83204    2451184     1999.011933   1.3919e+016   2.2658e+015      0
    19990105       95057    2451184     1999.012083   2.3464e+016   3.8197e+015      0
    19990105      135230    2451184     1999.012543   1.7580e+016   2.8618e+015      0
    19990106       91802    2451185     1999.014760   2.9086e+016   4.7349e+015      0
    19990106      103656    2451185     1999.014910   3.0217e+016   4.9189e+015      0
    19990106      143553    2451185     1999.015365   4.9625e+016   8.0784e+015      0
    19990106      155451    2451185     1999.015515   4.2289e+016   6.8842e+015      0
    19990107       80408    2451186     1999.017359   2.2280e+016   3.6269e+015      0
    19990107       92303    2451186     1999.017510   2.2683e+016   3.6925e+015      0
    19990107      104159    2451186     1999.017660   2.6314e+016   4.2836e+015      0
    19990107      131950    2451186     1999.017960   3.7683e+016   6.1343e+015      0
    19990107      143848    2451186     1999.018110   3.4717e+016   5.6516e+015      0
    19990111       85952    2451190     1999.028424   2.1408e+016   3.4850e+015      0
    19990111      101851    2451190     1999.028575   3.0866e+016   5.0246e+015      0
    19990118      150742    2451197     1999.048302   3.8170e+016   6.2135e+015      0
    19990119      133231    2451198     1999.050861   5.5919e+016   9.1030e+015      0
    19990126       85317    2451205     1999.069508   1.0184e+016   1.6579e+015      0
    19990126      101223    2451205     1999.069658   1.4345e+016   2.3352e+015      0
    19990206       94712    2451216     1999.099747   9.5590e+015   1.5561e+015      0
    19990206      110620    2451216     1999.099898   1.5477e+016   2.5195e+015      0
    19990206      123002    2451216     1999.100057   2.4042e+016   3.9137e+015      0
    19990206      150808    2451216     1999.100358   4.5975e+016   7.4842e+015      0
    19990212      122008    2451222     1999.116477   1.4440e+016   2.3507e+015      0
    19990214      132923    2451224     1999.122088   1.7333e+016   2.8216e+015      0
    19990215       85039    2451225     1999.124297   2.6470e+016   4.3090e+015      0
    19990223       75636    2451233     1999.146112   5.0999e+015   8.3020e+014      0
    19990304      103436    2451242     1999.171070   1.8294e+016   2.9781e+015      0
    19990304      115339    2451242     1999.171221   2.5155e+016   4.0949e+015      0
    19990306      105728    2451244     1999.176593   1.7422e+016   2.8362e+015      0
    19990306      121631    2451244     1999.176744   3.7805e+016   6.1542e+015      0
    19990306      145447    2451244     1999.177045   2.0990e+016   3.4170e+015      0
    19990306      161354    2451244     1999.177195   2.4334e+016   3.9613e+015      0
    19990309      103117    2451247     1999.184763   9.4906e+015   1.5450e+015      0
    19990310      123645    2451248     1999.187741   1.6568e+016   2.6970e+015      0
    19990312      140209    2451250     1999.193383   2.1549e+016   3.5079e+015      0
    19990314       83015    2451252     1999.198231   1.0888e+016   1.7725e+015      0
    19990314      162808    2451252     1999.199140   2.0427e+016   3.3252e+015      0
    19990315       75128    2451253     1999.200897   1.3268e+016   2.1599e+015      0
    19990315       94305    2451253     1999.201109   1.4734e+016   2.3985e+015      0
    19990321      121748    2451259     1999.217842   1.9671e+016   3.2022e+015      0
    19990323      132040    2451261     1999.223441   5.3825e+015   8.7621e+014      0
    19990323      134707    2451261     1999.223491   4.5236e+015   7.3639e+014      0
    19990326      142250    2451264     1999.231779   7.0668e+016   1.1504e+016      0
    19990330       84054    2451268     1999.242087   8.3267e+015   1.3555e+015      0
    19990330      100015    2451268     1999.242238   1.1468e+016   1.8669e+015      0
    19990407      122356    2451276     1999.264429   1.1714e+016   1.9069e+015      0
    19990414      130956    2451283     1999.283695   1.7613e+016   2.8672e+015      0
    19990419      124933    2451288     1999.297355   1.1907e+016   1.9383e+015      0
